ParasiteCheckedBinomial,Par.Phylum,Par.Class,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,egg.size.min,egg.size.max
Concinnum ten,Platyhelminthes,Trematoda,1.32,2.6,0.43,1.05,NA,NA,NA,NA,NA,NA,NA,NA,48,60
Contracaecum margolisi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Contracaecum ogmorhini,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Contracaecum osculatum,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Contracaecum spiculigerum,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,64
Cooperia acutispiculum,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooperia connochaeti,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooperia fuelleborni,Nematoda,Chromadorea,5.6,7.8,NA,NA,5.6,7.3,NA,NA,5.4,7.8,NA,NA,65,72
Cooperia hungi,Nematoda,Chromadorea,7.6,9.1,NA,NA,10.5,10.7,NA,NA,NA,NA,NA,NA,68,68
Cooperia neitzi,Nematoda,Chromadorea,8.4,12.4,NA,NA,8.4,9.8,NA,NA,10.4,12.4,NA,NA,78,90
Cooperia oncophora,Nematoda,Chromadorea,4.9,12,NA,NA,4.9,9,NA,NA,6,12,NA,NA,74,75
Cooperia pectinata,Nematoda,Chromadorea,NA,NA,NA,NA,7,7,NA,NA,7.5,9,NA,NA,65,87
Cooperia pigachei,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooperia punctata,Nematoda,Chromadorea,NA,NA,NA,NA,4.7,8.1,NA,NA,5.7,7.5,NA,NA,67,85
Cooperia rotundispiculum,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooperia verrucosa,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooperia yoshidai,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooperia zurnabada,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooperioides antidorca,Nematoda,Chromadorea,6.2,7.9,NA,NA,6.2,7,NA,NA,7.7,7.9,NA,NA,NA,NA
Cooperioides hamiltoni,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooperioides hepaticae,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordophilus sagittus,Nematoda,Chromadorea,57,122,700,1200,57,85,700,730,75,122,850,1200,NA,NA
Corynosoma australe,Acanthocephala,Palaeacanthocephala,3,4,1300,1300,NA,NA,NA,NA,NA,NA,NA,NA,75,85
Corynosoma enhydri,Acanthocephala,Palaeacanthocephala,12,20,2000,2250,12,16,2000,2120,19,20,2210,2250,99,125
Corynosoma hadweni,Acanthocephala,Palaeacanthocephala,6,8.25,1400,2500,6,8.25,1430,1430,6,8.25,1400,2500,93,115
Corynosoma magdaleni,Acanthocephala,Palaeacanthocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynosoma reductum,Acanthocephala,Palaeacanthocephala,6.12,10,2370,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynosoma semerme,Acanthocephala,Palaeacanthocephala,3,5,700,1000,3,5,700,1000,3,5,700,1000,79,101
Corynosoma strumosum,Acanthocephala,Palaeacanthocephala,5,9,NA,NA,5,9,NA,NA,5,9,NA,NA,79,200
Corynosoma validum,Acanthocephala,Palaeacanthocephala,3.5,5.4,1800,3200,3.9,5.4,1900,2700,3.5,4.6,1800,3200,90,116
Corynosoma villosum,Acanthocephala,Palaeacanthocephala,3.5,8.4,1360,1850,3.5,6.35,1360,1600,6.4,8.4,1780,1850,98,140
Cotylophoron indicum,Platyhelminthes,Trematoda,4.3,5.5,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotylophoron jacksoni,Platyhelminthes,Trematoda,9.8,9.8,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,125,125
Crenosoma goblei,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crenosoma melesi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crenosoma petrowi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crenosoma taiga,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crenosoma vulpis,Nematoda,Chromadorea,3.5,16,280,480,3.5,8,280,320,12,16,300,480,NA,NA
Crenosoma zederi,Nematoda,Chromadorea,6,26,NA,NA,6,9,NA,NA,18,26,NA,NA,72,72
Crossocephalus viviparus,Nematoda,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cruzia americana,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocotyle jejunum,Platyhelminthes,Trematoda,1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,36
Cryptocotyle lingua,Platyhelminthes,Trematoda,0.528,1.89,0.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,33,50
Cyathospirura chevreuxi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyathostomum catinatum,Nematoda,Chromadorea,5,12,NA,NA,5,9,NA,NA,6,12,NA,NA,NA,NA
Cyathostomum labratum,Nematoda,Chromadorea,6.5,9.5,NA,NA,6.5,8,NA,NA,7.5,9.5,NA,NA,NA,NA
Cyathostomum montgomeryi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyathostomum tetracanthum,Nematoda,Chromadorea,7,12,NA,NA,7,9,NA,NA,8,12,NA,NA,NA,NA
Cylicocyclus auriculatus,Nematoda,Chromadorea,15,26,NA,NA,15,17,NA,NA,26,26,NA,NA,NA,NA
Cylicocyclus gyalocephaloides,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylicocyclus insigne,Nematoda,Chromadorea,11,15,NA,NA,11,12,NA,NA,13.5,15,NA,NA,NA,NA
Cylicocyclus nassatus,Nematoda,Chromadorea,7,14,NA,NA,7,10,NA,NA,9,14,NA,NA,NA,NA
Cylicodontophorus reineckei,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylicospirura felineus,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylicospirura petrowi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylicospirura subaequalis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylicostephanus calicatus,Nematoda,Chromadorea,5.5,8,NA,NA,5.5,6.5,NA,NA,6.5,8,NA,NA,NA,NA
Cylicostephanus longiconus,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylicostephanus minutus,Nematoda,Chromadorea,4,6,NA,NA,4,6,NA,NA,4,6,NA,NA,NA,NA
Cystocaulus ocreatus,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daubneya oldi,Nematoda,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diceronema versterae,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrocoelium dendriticum,Platyhelminthes,Trematoda,6,10,1.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,36,50
Dictyocaulus capreolus,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyocaulus eckerti,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyocaulus filaria,Nematoda,Chromadorea,NA,NA,NA,NA,25,80,NA,NA,43,112,NA,NA,112,135
Dictyocaulus noerneri,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyocaulus viviparus,Nematoda,Chromadorea,17,80,500,500,17,50,500,500,23,80,NA,NA,82,88
Didelphonema longispiculata,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dioctophyma renale,Nematoda,Enoplea,140,1000,5,12,140,450,NA,NA,200,1000,5,12,60,80
Dipetalonema llewellyni,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipetalonema mephitis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipetalonema procyonis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipetalonema spirocauda,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium cordatum,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium dendriticum,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium ditremum,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium fayi,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium lanceolatum,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium latum,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium medium,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium pacificum,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphyllobothrium tetrapterus,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplopylidium monoophorum,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplopylidium noelleri,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipylidium caninum,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirofilaria immitis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirofilaria lutrae,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirofilaria repens,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
